crop_id,species
01f2b7643af1625ee178aa1643cd0494_c00083,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00084,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00085,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00086,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00087,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00088,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00089,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00090,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00091,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00092,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00093,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00094,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00095,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00096,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00097,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00098,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00099,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00100,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00101,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00102,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00103,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00104,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00105,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00106,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00107,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00108,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00109,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00110,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00111,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00112,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00113,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00114,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00115,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00116,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00117,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00118,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00119,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00120,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00121,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00122,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00123,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00124,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00125,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00126,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00127,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00128,Dark-Eyed Junco
020091cc06c17c7b2f408fb4d30465d8_c00129,Dark-Eyed Junco
035caf99d64b99ad54086f56451f33dd_c00130,Dark-Eyed Junco
035caf99d64b99ad54086f56451f33dd_c00131,Dark-Eyed Junco
05e97ad93318c9aea8c45a20d9eaf0b1_c00132,Dark-Eyed Junco
05e97ad93318c9aea8c45a20d9eaf0b1_c00133,Dark-Eyed Junco
05e97ad93318c9aea8c45a20d9eaf0b1_c00134,Dark-Eyed Junco
05e97ad93318c9aea8c45a20d9eaf0b1_c00135,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00136,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00137,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00138,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00139,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00140,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00141,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00142,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00143,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00144,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00145,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00146,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00147,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00148,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00149,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00150,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00151,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00152,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00153,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00154,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00155,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00156,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00157,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00158,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00159,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00160,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00161,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00162,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00163,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00164,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00165,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00166,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00167,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00168,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00169,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00170,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00171,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00172,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00173,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00174,Dark-Eyed Junco
08e8020ea729c10da444cbc312c3aaa1_c00175,Dark-Eyed Junco
0a4f68c491c05cd7846a1ced5b27e6e4_c00176,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00177,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00178,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00179,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00180,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00181,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00182,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00183,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00184,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00185,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00186,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00187,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00188,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00189,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00190,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00191,Black-Capped Chickadee
0a4f68c491c05cd7846a1ced5b27e6e4_c00192,Black-Capped Chickadee
0c15b2c773ebfdffc3f37b89578972e1_c00193,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00194,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00195,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00196,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00197,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00198,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00199,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00200,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00201,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00202,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00203,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00204,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00205,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00206,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00207,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00208,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00209,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00210,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00211,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00212,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00213,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00214,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00215,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00216,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00217,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00218,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00219,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00220,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00221,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00222,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00223,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00224,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00225,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00226,Dark-Eyed Junco
0c15b2c773ebfdffc3f37b89578972e1_c00227,Dark-Eyed Junco
0c9383915df662825dfa9e29cf6d3e48_c00228,Dark-Eyed Junco
0c9383915df662825dfa9e29cf6d3e48_c00229,Dark-Eyed Junco
0c9383915df662825dfa9e29cf6d3e48_c00230,Dark-Eyed Junco
0d0f9a1c3323fcc862e5a66a06e3fe5a_c00231,Dark-Eyed Junco
0d0f9a1c3323fcc862e5a66a06e3fe5a_c00232,Dark-Eyed Junco
0d0f9a1c3323fcc862e5a66a06e3fe5a_c00233,Dark-Eyed Junco
0d0f9a1c3323fcc862e5a66a06e3fe5a_c00234,Dark-Eyed Junco
12b2bc9b405bee5c07d171d24787702e_c00235,Black-Capped Chickadee
12b2bc9b405bee5c07d171d24787702e_c00236,Black-Capped Chickadee
12b2bc9b405bee5c07d171d24787702e_c00237,Black-Capped Chickadee
12b2bc9b405bee5c07d171d24787702e_c00238,Black-Capped Chickadee
12b2bc9b405bee5c07d171d24787702e_c00239,Black-Capped Chickadee
12b2bc9b405bee5c07d171d24787702e_c00240,Black-Capped Chickadee
13c8a95bbb215f7cbaf932f058dc6254_c00241,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00242,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00243,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00244,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00245,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00246,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00247,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00248,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00249,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00250,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00251,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00252,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00253,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00254,Dark-Eyed Junco
13c8a95bbb215f7cbaf932f058dc6254_c00255,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00256,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00257,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00258,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00259,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00260,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00261,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00262,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00263,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00264,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00265,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00266,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00267,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00268,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00269,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00270,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00271,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00272,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00273,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00274,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00275,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00276,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00277,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00278,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00279,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00280,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00281,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00282,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00283,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00284,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00285,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00286,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00287,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00288,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00289,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00290,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00291,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00292,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00293,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00294,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00295,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00296,Dark-Eyed Junco
150d7c3f802ff68b28dce57ea252013f_c00297,Dark-Eyed Junco
159acff80ab4e0185050888c10e04589_c00298,Dark-Eyed Junco
159acff80ab4e0185050888c10e04589_c00299,Dark-Eyed Junco
159acff80ab4e0185050888c10e04589_c00300,Dark-Eyed Junco
159acff80ab4e0185050888c10e04589_c00301,Dark-Eyed Junco
180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00302,Black-Capped Chickadee
180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00303,Black-Capped Chickadee
180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00304,Black-Capped Chickadee
180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00305,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00306,Dark-Eyed Junco
187119e0c142927facaebf7f428c170b_c00307,Dark-Eyed Junco
187119e0c142927facaebf7f428c170b_c00308,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00309,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00310,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00311,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00312,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00313,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00314,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00315,Black-Capped Chickadee
187119e0c142927facaebf7f428c170b_c00316,Chickadee
187119e0c142927facaebf7f428c170b_c00317,Dark-Eyed Junco
187119e0c142927facaebf7f428c170b_c00318,Black-Capped Chickadee
198cf95a75fb25e10fc88e36550332b5_c00319,Black-Capped Chickadee
198cf95a75fb25e10fc88e36550332b5_c00320,Black-Capped Chickadee
198cf95a75fb25e10fc88e36550332b5_c00321,Black-Capped Chickadee
198cf95a75fb25e10fc88e36550332b5_c00322,Black-Capped Chickadee
1a0ac8df0af4fcc620fc02af0e2e9e66_c00323,Black-Capped Chickadee
1a0ac8df0af4fcc620fc02af0e2e9e66_c00324,Black-Capped Chickadee
1a0ac8df0af4fcc620fc02af0e2e9e66_c00325,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00326,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00327,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00328,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00329,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00330,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00331,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00332,Black-Capped Chickadee
1baed8325e57931f3520444cee078985_c00333,Black-Capped Chickadee
1e5284feeb6d992491f2af857605d084_c00334,Black-Capped Chickadee
1e5284feeb6d992491f2af857605d084_c00335,Black-Capped Chickadee
1e5284feeb6d992491f2af857605d084_c00336,Black-Capped Chickadee
20490f4f91ca7383b8653ae760f5a075_c00337,Black-Capped Chickadee
20490f4f91ca7383b8653ae760f5a075_c00338,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00339,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00340,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00341,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00342,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00343,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00344,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00345,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00346,Dark-Eyed Junco
20490f4f91ca7383b8653ae760f5a075_c00347,Dark-Eyed Junco
21a2499da6dea47fd5620522ba50d404_c00348,Black-Capped Chickadee
21a2499da6dea47fd5620522ba50d404_c00349,Black-Capped Chickadee
21a2499da6dea47fd5620522ba50d404_c00350,Black-Capped Chickadee
21a2499da6dea47fd5620522ba50d404_c00351,Black-Capped Chickadee
21a2499da6dea47fd5620522ba50d404_c00352,Black-Capped Chickadee
21a89ad5f7717f9d32e4e42ae9601a3b_c00353,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00354,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00355,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00356,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00357,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00358,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00359,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00360,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00361,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00362,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00363,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00364,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00365,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00366,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00367,Dark-Eyed Junco
21a89ad5f7717f9d32e4e42ae9601a3b_c00368,Dark-Eyed Junco
