session_id,video_id,crop_ids,species
session_00017,08e8020ea729c10da444cbc312c3aaa1,"08e8020ea729c10da444cbc312c3aaa1_c00136,08e8020ea729c10da444cbc312c3aaa1_c00137,08e8020ea729c10da444cbc312c3aaa1_c00138,08e8020ea729c10da444cbc312c3aaa1_c00139,08e8020ea729c10da444cbc312c3aaa1_c00140,08e8020ea729c10da444cbc312c3aaa1_c00141,08e8020ea729c10da444cbc312c3aaa1_c00142,08e8020ea729c10da444cbc312c3aaa1_c00143,08e8020ea729c10da444cbc312c3aaa1_c00145,08e8020ea729c10da444cbc312c3aaa1_c00146,08e8020ea729c10da444cbc312c3aaa1_c00147,08e8020ea729c10da444cbc312c3aaa1_c00148,08e8020ea729c10da444cbc312c3aaa1_c00149,08e8020ea729c10da444cbc312c3aaa1_c00150,08e8020ea729c10da444cbc312c3aaa1_c00151,08e8020ea729c10da444cbc312c3aaa1_c00152,08e8020ea729c10da444cbc312c3aaa1_c00154,08e8020ea729c10da444cbc312c3aaa1_c00155,08e8020ea729c10da444cbc312c3aaa1_c00156,08e8020ea729c10da444cbc312c3aaa1_c00157,08e8020ea729c10da444cbc312c3aaa1_c00158,08e8020ea729c10da444cbc312c3aaa1_c00159,08e8020ea729c10da444cbc312c3aaa1_c00160,08e8020ea729c10da444cbc312c3aaa1_c00161,08e8020ea729c10da444cbc312c3aaa1_c00162,08e8020ea729c10da444cbc312c3aaa1_c00163,08e8020ea729c10da444cbc312c3aaa1_c00164,08e8020ea729c10da444cbc312c3aaa1_c00165,08e8020ea729c10da444cbc312c3aaa1_c00168,08e8020ea729c10da444cbc312c3aaa1_c00169,08e8020ea729c10da444cbc312c3aaa1_c00170,08e8020ea729c10da444cbc312c3aaa1_c00171",Dark-Eyed Junco
session_00018,0a4f68c491c05cd7846a1ced5b27e6e4,"0a4f68c491c05cd7846a1ced5b27e6e4_c00177,0a4f68c491c05cd7846a1ced5b27e6e4_c00192",Black-Capped Chickadee
session_00019,0a4f68c491c05cd7846a1ced5b27e6e4,"0a4f68c491c05cd7846a1ced5b27e6e4_c00176,0a4f68c491c05cd7846a1ced5b27e6e4_c00178,0a4f68c491c05cd7846a1ced5b27e6e4_c00188,0a4f68c491c05cd7846a1ced5b27e6e4_c00189,0a4f68c491c05cd7846a1ced5b27e6e4_c00191",Black-Capped Chickadee
session_00020,0a4f68c491c05cd7846a1ced5b27e6e4,0a4f68c491c05cd7846a1ced5b27e6e4_c00190,Black-Capped Chickadee
session_00021,0a4f68c491c05cd7846a1ced5b27e6e4,"0a4f68c491c05cd7846a1ced5b27e6e4_c00179,0a4f68c491c05cd7846a1ced5b27e6e4_c00180,0a4f68c491c05cd7846a1ced5b27e6e4_c00181,0a4f68c491c05cd7846a1ced5b27e6e4_c00182,0a4f68c491c05cd7846a1ced5b27e6e4_c00183,0a4f68c491c05cd7846a1ced5b27e6e4_c00184,0a4f68c491c05cd7846a1ced5b27e6e4_c00185,0a4f68c491c05cd7846a1ced5b27e6e4_c00186,0a4f68c491c05cd7846a1ced5b27e6e4_c00187",Black-Capped Chickadee
session_00022,0c15b2c773ebfdffc3f37b89578972e1,"0c15b2c773ebfdffc3f37b89578972e1_c00193,0c15b2c773ebfdffc3f37b89578972e1_c00194,0c15b2c773ebfdffc3f37b89578972e1_c00195,0c15b2c773ebfdffc3f37b89578972e1_c00196,0c15b2c773ebfdffc3f37b89578972e1_c00197,0c15b2c773ebfdffc3f37b89578972e1_c00198,0c15b2c773ebfdffc3f37b89578972e1_c00199,0c15b2c773ebfdffc3f37b89578972e1_c00200,0c15b2c773ebfdffc3f37b89578972e1_c00201,0c15b2c773ebfdffc3f37b89578972e1_c00202,0c15b2c773ebfdffc3f37b89578972e1_c00204,0c15b2c773ebfdffc3f37b89578972e1_c00205,0c15b2c773ebfdffc3f37b89578972e1_c00206,0c15b2c773ebfdffc3f37b89578972e1_c00207,0c15b2c773ebfdffc3f37b89578972e1_c00208,0c15b2c773ebfdffc3f37b89578972e1_c00209,0c15b2c773ebfdffc3f37b89578972e1_c00210,0c15b2c773ebfdffc3f37b89578972e1_c00211,0c15b2c773ebfdffc3f37b89578972e1_c00212,0c15b2c773ebfdffc3f37b89578972e1_c00213,0c15b2c773ebfdffc3f37b89578972e1_c00214,0c15b2c773ebfdffc3f37b89578972e1_c00215,0c15b2c773ebfdffc3f37b89578972e1_c00216,0c15b2c773ebfdffc3f37b89578972e1_c00217,0c15b2c773ebfdffc3f37b89578972e1_c00218,0c15b2c773ebfdffc3f37b89578972e1_c00219,0c15b2c773ebfdffc3f37b89578972e1_c00220,0c15b2c773ebfdffc3f37b89578972e1_c00221,0c15b2c773ebfdffc3f37b89578972e1_c00223,0c15b2c773ebfdffc3f37b89578972e1_c00224,0c15b2c773ebfdffc3f37b89578972e1_c00225,0c15b2c773ebfdffc3f37b89578972e1_c00226,0c15b2c773ebfdffc3f37b89578972e1_c00227",Dark-Eyed Junco
session_00023,0c15b2c773ebfdffc3f37b89578972e1,0c15b2c773ebfdffc3f37b89578972e1_c00222,Dark-Eyed Junco
session_00024,0c15b2c773ebfdffc3f37b89578972e1,0c15b2c773ebfdffc3f37b89578972e1_c00203,Dark-Eyed Junco
session_00025,0c9383915df662825dfa9e29cf6d3e48,"0c9383915df662825dfa9e29cf6d3e48_c00228,0c9383915df662825dfa9e29cf6d3e48_c00229,0c9383915df662825dfa9e29cf6d3e48_c00230",Dark-Eyed Junco
session_00026,0d0f9a1c3323fcc862e5a66a06e3fe5a,"0d0f9a1c3323fcc862e5a66a06e3fe5a_c00232,0d0f9a1c3323fcc862e5a66a06e3fe5a_c00233",Dark-Eyed Junco
session_00027,0d0f9a1c3323fcc862e5a66a06e3fe5a,0d0f9a1c3323fcc862e5a66a06e3fe5a_c00234,Dark-Eyed Junco
session_00028,0d0f9a1c3323fcc862e5a66a06e3fe5a,0d0f9a1c3323fcc862e5a66a06e3fe5a_c00231,Dark-Eyed Junco
session_00029,12b2bc9b405bee5c07d171d24787702e,"12b2bc9b405bee5c07d171d24787702e_c00235,12b2bc9b405bee5c07d171d24787702e_c00236,12b2bc9b405bee5c07d171d24787702e_c00237,12b2bc9b405bee5c07d171d24787702e_c00238,12b2bc9b405bee5c07d171d24787702e_c00239,12b2bc9b405bee5c07d171d24787702e_c00240",Black-Capped Chickadee
session_00030,13c8a95bbb215f7cbaf932f058dc6254,"13c8a95bbb215f7cbaf932f058dc6254_c00246,13c8a95bbb215f7cbaf932f058dc6254_c00253",Dark-Eyed Junco
session_00031,13c8a95bbb215f7cbaf932f058dc6254,"13c8a95bbb215f7cbaf932f058dc6254_c00241,13c8a95bbb215f7cbaf932f058dc6254_c00242,13c8a95bbb215f7cbaf932f058dc6254_c00243,13c8a95bbb215f7cbaf932f058dc6254_c00244,13c8a95bbb215f7cbaf932f058dc6254_c00245,13c8a95bbb215f7cbaf932f058dc6254_c00247,13c8a95bbb215f7cbaf932f058dc6254_c00248,13c8a95bbb215f7cbaf932f058dc6254_c00249,13c8a95bbb215f7cbaf932f058dc6254_c00250,13c8a95bbb215f7cbaf932f058dc6254_c00251,13c8a95bbb215f7cbaf932f058dc6254_c00252,13c8a95bbb215f7cbaf932f058dc6254_c00254,13c8a95bbb215f7cbaf932f058dc6254_c00255",Dark-Eyed Junco
session_00032,150d7c3f802ff68b28dce57ea252013f,"150d7c3f802ff68b28dce57ea252013f_c00256,150d7c3f802ff68b28dce57ea252013f_c00257,150d7c3f802ff68b28dce57ea252013f_c00258,150d7c3f802ff68b28dce57ea252013f_c00259,150d7c3f802ff68b28dce57ea252013f_c00260,150d7c3f802ff68b28dce57ea252013f_c00261,150d7c3f802ff68b28dce57ea252013f_c00262,150d7c3f802ff68b28dce57ea252013f_c00263,150d7c3f802ff68b28dce57ea252013f_c00264,150d7c3f802ff68b28dce57ea252013f_c00265,150d7c3f802ff68b28dce57ea252013f_c00266,150d7c3f802ff68b28dce57ea252013f_c00268,150d7c3f802ff68b28dce57ea252013f_c00269,150d7c3f802ff68b28dce57ea252013f_c00270,150d7c3f802ff68b28dce57ea252013f_c00271,150d7c3f802ff68b28dce57ea252013f_c00272,150d7c3f802ff68b28dce57ea252013f_c00273,150d7c3f802ff68b28dce57ea252013f_c00274,150d7c3f802ff68b28dce57ea252013f_c00275,150d7c3f802ff68b28dce57ea252013f_c00276,150d7c3f802ff68b28dce57ea252013f_c00277,150d7c3f802ff68b28dce57ea252013f_c00278,150d7c3f802ff68b28dce57ea252013f_c00279,150d7c3f802ff68b28dce57ea252013f_c00280,150d7c3f802ff68b28dce57ea252013f_c00281,150d7c3f802ff68b28dce57ea252013f_c00283,150d7c3f802ff68b28dce57ea252013f_c00284,150d7c3f802ff68b28dce57ea252013f_c00285,150d7c3f802ff68b28dce57ea252013f_c00286,150d7c3f802ff68b28dce57ea252013f_c00287,150d7c3f802ff68b28dce57ea252013f_c00289,150d7c3f802ff68b28dce57ea252013f_c00290,150d7c3f802ff68b28dce57ea252013f_c00291,150d7c3f802ff68b28dce57ea252013f_c00293,150d7c3f802ff68b28dce57ea252013f_c00294,150d7c3f802ff68b28dce57ea252013f_c00295,150d7c3f802ff68b28dce57ea252013f_c00296,150d7c3f802ff68b28dce57ea252013f_c00297",Dark-Eyed Junco
session_00033,150d7c3f802ff68b28dce57ea252013f,"150d7c3f802ff68b28dce57ea252013f_c00267,150d7c3f802ff68b28dce57ea252013f_c00282,150d7c3f802ff68b28dce57ea252013f_c00288,150d7c3f802ff68b28dce57ea252013f_c00292",Dark-Eyed Junco
session_00034,159acff80ab4e0185050888c10e04589,"159acff80ab4e0185050888c10e04589_c00298,159acff80ab4e0185050888c10e04589_c00299,159acff80ab4e0185050888c10e04589_c00300,159acff80ab4e0185050888c10e04589_c00301",Dark-Eyed Junco
session_00035,180f5f6500dd0bd0c3e5c5f1f6b72e5e,"180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00304,180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00305",Black-Capped Chickadee
session_00036,180f5f6500dd0bd0c3e5c5f1f6b72e5e,180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00303,Black-Capped Chickadee
session_00037,180f5f6500dd0bd0c3e5c5f1f6b72e5e,180f5f6500dd0bd0c3e5c5f1f6b72e5e_c00302,Black-Capped Chickadee
session_00038,187119e0c142927facaebf7f428c170b,"187119e0c142927facaebf7f428c170b_c00308,187119e0c142927facaebf7f428c170b_c00309,187119e0c142927facaebf7f428c170b_c00310,187119e0c142927facaebf7f428c170b_c00312,187119e0c142927facaebf7f428c170b_c00313,187119e0c142927facaebf7f428c170b_c00314,187119e0c142927facaebf7f428c170b_c00316,187119e0c142927facaebf7f428c170b_c00318",Black-Capped Chickadee
session_00039,187119e0c142927facaebf7f428c170b,"187119e0c142927facaebf7f428c170b_c00306,187119e0c142927facaebf7f428c170b_c00307",Dark-Eyed Junco
session_00040,187119e0c142927facaebf7f428c170b,187119e0c142927facaebf7f428c170b_c00315,Black-Capped Chickadee
session_00041,187119e0c142927facaebf7f428c170b,187119e0c142927facaebf7f428c170b_c00317,Dark-Eyed Junco
session_00042,187119e0c142927facaebf7f428c170b,187119e0c142927facaebf7f428c170b_c00311,Black-Capped Chickadee
session_00043,198cf95a75fb25e10fc88e36550332b5,"198cf95a75fb25e10fc88e36550332b5_c00319,198cf95a75fb25e10fc88e36550332b5_c00320,198cf95a75fb25e10fc88e36550332b5_c00321,198cf95a75fb25e10fc88e36550332b5_c00322",Black-Capped Chickadee
session_00044,1a0ac8df0af4fcc620fc02af0e2e9e66,1a0ac8df0af4fcc620fc02af0e2e9e66_c00325,Black-Capped Chickadee
session_00045,1a0ac8df0af4fcc620fc02af0e2e9e66,1a0ac8df0af4fcc620fc02af0e2e9e66_c00324,Black-Capped Chickadee
session_00046,1a0ac8df0af4fcc620fc02af0e2e9e66,1a0ac8df0af4fcc620fc02af0e2e9e66_c00323,Black-Capped Chickadee
session_00047,1baed8325e57931f3520444cee078985,"1baed8325e57931f3520444cee078985_c00330,1baed8325e57931f3520444cee078985_c00331,1baed8325e57931f3520444cee078985_c00332,1baed8325e57931f3520444cee078985_c00333",Black-Capped Chickadee
session_00048,1baed8325e57931f3520444cee078985,"1baed8325e57931f3520444cee078985_c00326,1baed8325e57931f3520444cee078985_c00327,1baed8325e57931f3520444cee078985_c00328,1baed8325e57931f3520444cee078985_c00329",Black-Capped Chickadee
session_00049,1e5284feeb6d992491f2af857605d084,"1e5284feeb6d992491f2af857605d084_c00334,1e5284feeb6d992491f2af857605d084_c00335",Black-Capped Chickadee
session_00050,1e5284feeb6d992491f2af857605d084,1e5284feeb6d992491f2af857605d084_c00336,Black-Capped Chickadee
session_00051,20490f4f91ca7383b8653ae760f5a075,"20490f4f91ca7383b8653ae760f5a075_c00339,20490f4f91ca7383b8653ae760f5a075_c00340,20490f4f91ca7383b8653ae760f5a075_c00341,20490f4f91ca7383b8653ae760f5a075_c00342,20490f4f91ca7383b8653ae760f5a075_c00343,20490f4f91ca7383b8653ae760f5a075_c00344,20490f4f91ca7383b8653ae760f5a075_c00345,20490f4f91ca7383b8653ae760f5a075_c00347",Dark-Eyed Junco
session_00052,20490f4f91ca7383b8653ae760f5a075,20490f4f91ca7383b8653ae760f5a075_c00346,Dark-Eyed Junco
session_00053,20490f4f91ca7383b8653ae760f5a075,20490f4f91ca7383b8653ae760f5a075_c00338,Dark-Eyed Junco
session_00054,20490f4f91ca7383b8653ae760f5a075,20490f4f91ca7383b8653ae760f5a075_c00337,Black-Capped Chickadee
session_00055,21a2499da6dea47fd5620522ba50d404,"21a2499da6dea47fd5620522ba50d404_c00348,21a2499da6dea47fd5620522ba50d404_c00349,21a2499da6dea47fd5620522ba50d404_c00350,21a2499da6dea47fd5620522ba50d404_c00351,21a2499da6dea47fd5620522ba50d404_c00352",Black-Capped Chickadee
session_00056,21a89ad5f7717f9d32e4e42ae9601a3b,"21a89ad5f7717f9d32e4e42ae9601a3b_c00353,21a89ad5f7717f9d32e4e42ae9601a3b_c00354,21a89ad5f7717f9d32e4e42ae9601a3b_c00355,21a89ad5f7717f9d32e4e42ae9601a3b_c00358,21a89ad5f7717f9d32e4e42ae9601a3b_c00360,21a89ad5f7717f9d32e4e42ae9601a3b_c00361,21a89ad5f7717f9d32e4e42ae9601a3b_c00362,21a89ad5f7717f9d32e4e42ae9601a3b_c00363,21a89ad5f7717f9d32e4e42ae9601a3b_c00364,21a89ad5f7717f9d32e4e42ae9601a3b_c00365,21a89ad5f7717f9d32e4e42ae9601a3b_c00366,21a89ad5f7717f9d32e4e42ae9601a3b_c00367,21a89ad5f7717f9d32e4e42ae9601a3b_c00368,21a89ad5f7717f9d32e4e42ae9601a3b_c00371,21a89ad5f7717f9d32e4e42ae9601a3b_c00372,21a89ad5f7717f9d32e4e42ae9601a3b_c00373,21a89ad5f7717f9d32e4e42ae9601a3b_c00374,21a89ad5f7717f9d32e4e42ae9601a3b_c00375,21a89ad5f7717f9d32e4e42ae9601a3b_c00376,21a89ad5f7717f9d32e4e42ae9601a3b_c00383,21a89ad5f7717f9d32e4e42ae9601a3b_c00384,21a89ad5f7717f9d32e4e42ae9601a3b_c00385,21a89ad5f7717f9d32e4e42ae9601a3b_c00386,21a89ad5f7717f9d32e4e42ae9601a3b_c00387,21a89ad5f7717f9d32e4e42ae9601a3b_c00388,21a89ad5f7717f9d32e4e42ae9601a3b_c00389,21a89ad5f7717f9d32e4e42ae9601a3b_c00390",Dark-Eyed Junco
session_00057,21a89ad5f7717f9d32e4e42ae9601a3b,"21a89ad5f7717f9d32e4e42ae9601a3b_c00369,21a89ad5f7717f9d32e4e42ae9601a3b_c00370",Dark-Eyed Junco
session_00058,21a89ad5f7717f9d32e4e42ae9601a3b,"21a89ad5f7717f9d32e4e42ae9601a3b_c00377,21a89ad5f7717f9d32e4e42ae9601a3b_c00378,21a89ad5f7717f9d32e4e42ae9601a3b_c00379,21a89ad5f7717f9d32e4e42ae9601a3b_c00380,21a89ad5f7717f9d32e4e42ae9601a3b_c00381,21a89ad5f7717f9d32e4e42ae9601a3b_c00382",Dark-Eyed Junco
session_00059,21a89ad5f7717f9d32e4e42ae9601a3b,21a89ad5f7717f9d32e4e42ae9601a3b_c00356,Dark-Eyed Junco
session_00060,21a89ad5f7717f9d32e4e42ae9601a3b,"21a89ad5f7717f9d32e4e42ae9601a3b_c00357,21a89ad5f7717f9d32e4e42ae9601a3b_c00359",Dark-Eyed Junco
session_00061,21cf9c6b73672a28d77efa5f4f011657,"21cf9c6b73672a28d77efa5f4f011657_c00398,21cf9c6b73672a28d77efa5f4f011657_c00401",Dark-Eyed Junco
session_00062,21cf9c6b73672a28d77efa5f4f011657,"21cf9c6b73672a28d77efa5f4f011657_c00392,21cf9c6b73672a28d77efa5f4f011657_c00393,21cf9c6b73672a28d77efa5f4f011657_c00394,21cf9c6b73672a28d77efa5f4f011657_c00395,21cf9c6b73672a28d77efa5f4f011657_c00396,21cf9c6b73672a28d77efa5f4f011657_c00402,21cf9c6b73672a28d77efa5f4f011657_c00403,21cf9c6b73672a28d77efa5f4f011657_c00404,21cf9c6b73672a28d77efa5f4f011657_c00405,21cf9c6b73672a28d77efa5f4f011657_c00406,21cf9c6b73672a28d77efa5f4f011657_c00407,21cf9c6b73672a28d77efa5f4f011657_c00408,21cf9c6b73672a28d77efa5f4f011657_c00409,21cf9c6b73672a28d77efa5f4f011657_c00410,21cf9c6b73672a28d77efa5f4f011657_c00411,21cf9c6b73672a28d77efa5f4f011657_c00412,21cf9c6b73672a28d77efa5f4f011657_c00413,21cf9c6b73672a28d77efa5f4f011657_c00414",Dark-Eyed Junco
session_00063,21cf9c6b73672a28d77efa5f4f011657,"21cf9c6b73672a28d77efa5f4f011657_c00399,21cf9c6b73672a28d77efa5f4f011657_c00400",Dark-Eyed Junco
session_00064,21cf9c6b73672a28d77efa5f4f011657,21cf9c6b73672a28d77efa5f4f011657_c00391,Dark-Eyed Junco
session_00065,21cf9c6b73672a28d77efa5f4f011657,21cf9c6b73672a28d77efa5f4f011657_c00397,Dark-Eyed Junco
